exp(in months),salary(in thousands)
31.541654005252816,34.29649186798952
27.54715462121157,39.25092951395772
5.555021673200667,20.470401186285837
35.48340675343333,33.75912589295059
42.53173034566383,49.49472976331116
40.58233801993944,37.03318253096674
34.19212278586294,33.91743011012686
23.700732004038137,24.266149025075546
40.01298608989941,37.96474236132949
29.96149961886887,23.72689367236485
12.4082567685906,15.938904151370147
31.4216613393632,38.54010298918272
16.900034362849638,31.663527837920945
27.91402971416477,27.97229844997252
27.19891586064025,24.10717493507172
21.523661503783917,22.983583398895057
26.223583983877575,27.38119427588624
14.625569665795693,15.936251422369716
25.23604068044175,27.888700298903963
15.52034152519664,17.31909314715268
16.78925838394978,11.741502829887237
31.893286808899816,32.80584987360074
12.061361131356126,16.43870653488545
4.936083791757401,18.686990018434678
20.91758087644384,30.223581802351823
26.34361347719473,23.167254546085974
20.774141615624195,26.85866061900198
21.616769660697983,21.24296769918506
13.721697990171414,11.902380542089896
43.703897019913896,40.015158591247086
17.680956774274463,10.182291639152137
21.89419893146377,17.584260545556987
12.07125481484804,17.553279316976045
23.603939315968628,32.97682987498905
26.91006991957504,25.28793948867826
18.32610618814218,29.33940106787522
6.267464488984846,15.751882919971518
20.96278544318029,18.85585962938896
17.299670021960942,19.337465403248757
13.854160416136423,24.52033697503542
19.105833871730955,20.87714542347941
42.56769083306738,35.897076282573735
33.39865314456362,23.70041035285972
34.200021268489216,32.62717479761286
43.22140301482317,47.0075590451896
26.69784098194392,30.2101501351832
41.74247227911404,47.6297687873507
20.587778014529142,22.613373033168877
31.052167416965855,34.18561683454314
20.73557196827924,32.23520161362671
28.64565181975457,25.73897220291734
26.411098749546284,27.55195523401375
32.38881614868335,28.06998871379326
22.854402494139315,25.29993274381561
18.777359745856277,26.8262336820623
22.259445708178763,17.07032296919731
9.2021987474354,14.82847616875842
19.152254041738765,20.573592511284748
17.476117618758543,11.189354380111736
31.67117131063383,32.966250758985865
24.39143449414613,18.56400376748169
26.00217811962864,23.07567393961627
26.84722691718444,28.34933112003717
30.538382695084707,24.299473895543237
21.9841553026219,24.35874645168085
17.468321198850923,17.261579027951136
28.95086569099112,28.32006830091106
30.944446671583982,27.91506417682946
20.736306917005493,16.375649402583647
28.045820357233023,28.302031917492485
10.156472356593138,19.059165577431592
30.7826071558002,42.523806607645255
31.82941618652528,27.94226371655151
22.87858576474048,18.2513411803208
21.47145205296486,20.544384319147188
26.873869105017107,32.34778357584536
49.04509017511064,44.90744187192091
14.604168594647266,21.188106594917745
31.306851019002004,31.03146071677933
22.520814734255318,14.713496979095812
25.592724627875995,28.217015291395647
24.203001382046303,26.664003085237127
17.127725129801412,24.21424075747963
18.727295344577644,18.17155381831681
38.57835901147671,38.87554686544004
14.614167552889976,15.764971475171984
15.59986066430395,17.598961600588538
22.311467504098083,32.08418884878034
34.11754595541574,36.30486730209436
33.51901250767466,25.21026484519564
20.382384384311404,15.736968947210244
27.46809393464465,30.771129846908625
35.575008947685845,32.96955128378515
18.741117778298246,26.209702914697555
28.897109433379264,27.616211852521097
27.3538662932848,30.75027035374813
21.471513182002216,19.891418262717146
33.60628153460911,32.99961470703246
29.932845002865303,33.15946112615957
21.2886893675645,18.933015184285296
17.78951061946195,18.005895960381327
42.03542043754523,50.62309820352995
35.85282612445013,22.512380018837558
29.72068279884277,22.28081205912673
24.48135501036207,20.98328530636661
36.47954298057057,35.53339557542489
21.56790728510624,18.694046790501005
15.769327149197984,21.295660581942474
12.87342738725626,16.695239393364766
29.607398502170454,36.45148906460855
18.434626468714683,18.900483609552413
38.53056540781265,39.91310788858195
22.134150544402207,30.702163295363697
29.373239450045027,23.94441168573597
40.46354667780699,38.31997429331083
34.11908932195685,39.29248921091152
39.15711432789952,45.21711460659981
21.086015058373068,27.61008627553768
19.490125548334987,21.97694313413464
33.3491777311185,33.18540767995487
35.037612920624085,33.934405486469124
23.59449816603655,21.56172247870862
30.234866602603702,35.59087415269309
35.89375272495906,39.16007997667442
22.68284463222907,30.14643834048361
23.780907005931773,23.953281814754515
23.677712489198647,26.738066063925174
28.636551467390767,30.00187789665391
23.04437501504358,33.768575796648804
8.520650916820959,-1.2763422707877368
29.209423613984047,37.50107650121928
20.02358651149959,12.012883240125234
35.3738730994376,35.9245247962394
36.43341144080862,40.311946937545954
18.29029331840369,16.52182490535894
34.089612896689474,39.34635293963497
45.49575815246761,45.43034605074048
35.74937603879197,32.397497606402155
18.081597125182988,21.247311069285395
25.6450959772609,36.21699821318893
32.732597136646326,30.207250633682055
38.39241657775237,41.5865119075734
25.59014297663809,24.515070577140825
26.67636453123795,31.490077147152284
27.26598412568637,28.197353262901025
